Inicio...
Resolving a Control stream...

Corrida N#:  0
[0, 0, 1, 1]
ts:  1969-12-31 22:39:26.737923 - 1969-12-31 22:39:26.764159
ts:  1969-12-31 22:39:26.741923 - 1969-12-31 22:39:26.764184
ts:  1969-12-31 22:39:26.745923 - 1969-12-31 22:39:26.764208
ts:  1969-12-31 22:39:26.749923 - 1969-12-31 22:39:26.764230
ts:  1969-12-31 22:39:26.753923 - 1969-12-31 22:39:26.764254
ts:  1969-12-31 22:39:26.757923 - 1969-12-31 22:39:26.764275
ts:  1969-12-31 22:39:26.761923 - 1969-12-31 22:39:26.764296
ts:  1969-12-31 22:39:26.751703 - 1969-12-31 22:39:26.788879
ts:  1969-12-31 22:39:26.755703 - 1969-12-31 22:39:26.789450
ts:  1969-12-31 22:39:26.759703 - 1969-12-31 22:39:26.789763
ts:  1969-12-31 22:39:26.763703 - 1969-12-31 22:39:26.790023
ts:  1969-12-31 22:39:26.767703 - 1969-12-31 22:39:26.790179
ts:  1969-12-31 22:39:26.771703 - 1969-12-31 22:39:26.790508
ts:  1969-12-31 22:39:26.775703 - 1969-12-31 22:39:26.790720
ts:  1969-12-31 22:39:26.779703 - 1969-12-31 22:39:26.790906
ts:  1969-12-31 22:39:26.783703 - 1969-12-31 22:39:26.791147
ts:  1969-12-31 22:39:26.787703 - 1969-12-31 22:39:26.791322
ts:  1969-12-31 22:39:26.778764 - 1969-12-31 22:39:26.815968
ts:  1969-12-31 22:39:26.782764 - 1969-12-31 22:39:26.817238
ts:  1969-12-31 22:39:26.786764 - 1969-12-31 22:39:26.817340
ts:  1969-12-31 22:39:26.790764 - 1969-12-31 22:39:26.817369
ts:  1969-12-31 22:39:26.794764 - 1969-12-31 22:39:26.817404
ts:  1969-12-31 22:39:26.798764 - 1969-12-31 22:39:26.817452
ts:  1969-12-31 22:39:26.802764 - 1969-12-31 22:39:26.817478
ts:  1969-12-31 22:39:26.806764 - 1969-12-31 22:39:26.817499
ts:  1969-12-31 22:39:26.810764 - 1969-12-31 22:39:26.817519
ts:  1969-12-31 22:39:26.814764 - 1969-12-31 22:39:26.817541
ts:  1969-12-31 22:39:26.806551 - 1969-12-31 22:39:26.844015
ts:  1969-12-31 22:39:26.810551 - 1969-12-31 22:39:26.844404
ts:  1969-12-31 22:39:26.814551 - 1969-12-31 22:39:26.844809
ts:  1969-12-31 22:39:26.818551 - 1969-12-31 22:39:26.844982
ts:  1969-12-31 22:39:26.822551 - 1969-12-31 22:39:26.845047
ts:  1969-12-31 22:39:26.826551 - 1969-12-31 22:39:26.845073
ts:  1969-12-31 22:39:26.830551 - 1969-12-31 22:39:26.845096
ts:  1969-12-31 22:39:26.834551 - 1969-12-31 22:39:26.845119
ts:  1969-12-31 22:39:26.838551 - 1969-12-31 22:39:26.845144
ts:  1969-12-31 22:39:26.842551 - 1969-12-31 22:39:26.845166
ts:  1969-12-31 22:39:26.831659 - 1969-12-31 22:39:26.868979
ts:  1969-12-31 22:39:26.835659 - 1969-12-31 22:39:26.869372
ts:  1969-12-31 22:39:26.839659 - 1969-12-31 22:39:26.869506
ts:  1969-12-31 22:39:26.843659 - 1969-12-31 22:39:26.869542
ts:  1969-12-31 22:39:26.847659 - 1969-12-31 22:39:26.869564
ts:  1969-12-31 22:39:26.851659 - 1969-12-31 22:39:26.869588
ts:  1969-12-31 22:39:26.855659 - 1969-12-31 22:39:26.869610
ts:  1969-12-31 22:39:26.859659 - 1969-12-31 22:39:26.869632
ts:  1969-12-31 22:39:26.863659 - 1969-12-31 22:39:26.869654
ts:  1969-12-31 22:39:26.867659 - 1969-12-31 22:39:26.869701
ts:  1969-12-31 22:39:26.857328 - 1969-12-31 22:39:26.895002
ts:  1969-12-31 22:39:26.861328 - 1969-12-31 22:39:26.895383
ts:  1969-12-31 22:39:26.865328 - 1969-12-31 22:39:26.895628
ts:  1969-12-31 22:39:26.869328 - 1969-12-31 22:39:26.895749
ts:  1969-12-31 22:39:26.873328 - 1969-12-31 22:39:26.895952
ts:  1969-12-31 22:39:26.877328 - 1969-12-31 22:39:26.896047
ts:  1969-12-31 22:39:26.881328 - 1969-12-31 22:39:26.896175
ts:  1969-12-31 22:39:26.885328 - 1969-12-31 22:39:26.896311
ts:  1969-12-31 22:39:26.889328 - 1969-12-31 22:39:26.896468
ts:  1969-12-31 22:39:26.893328 - 1969-12-31 22:39:26.896931
ts:  1969-12-31 22:39:26.884077 - 1969-12-31 22:39:26.920968
ts:  1969-12-31 22:39:26.888077 - 1969-12-31 22:39:26.921112
ts:  1969-12-31 22:39:26.892077 - 1969-12-31 22:39:26.921164
ts:  1969-12-31 22:39:26.896077 - 1969-12-31 22:39:26.921206
ts:  1969-12-31 22:39:26.900077 - 1969-12-31 22:39:26.921246
ts:  1969-12-31 22:39:26.904077 - 1969-12-31 22:39:26.921283
ts:  1969-12-31 22:39:26.908077 - 1969-12-31 22:39:26.921325
ts:  1969-12-31 22:39:26.912077 - 1969-12-31 22:39:26.921378
