Inicio...
Resolving a Control stream...

Corrida N#:  0
[0, 0, 1, 1]
ts:  1969-12-31 22:16:47.429974 - 1969-12-31 22:16:47.455063
ts:  1969-12-31 22:16:47.433974 - 1969-12-31 22:16:47.455117
ts:  1969-12-31 22:16:47.437974 - 1969-12-31 22:16:47.455197
ts:  1969-12-31 22:16:47.441974 - 1969-12-31 22:16:47.455236
ts:  1969-12-31 22:16:47.445974 - 1969-12-31 22:16:47.455259
ts:  1969-12-31 22:16:47.449974 - 1969-12-31 22:16:47.455291
ts:  1969-12-31 22:16:47.453974 - 1969-12-31 22:16:47.455356
ts:  1969-12-31 22:16:47.444821 - 1969-12-31 22:16:47.482605
ts:  1969-12-31 22:16:47.448821 - 1969-12-31 22:16:47.483059
ts:  1969-12-31 22:16:47.452821 - 1969-12-31 22:16:47.483277
ts:  1969-12-31 22:16:47.456821 - 1969-12-31 22:16:47.483376
ts:  1969-12-31 22:16:47.460821 - 1969-12-31 22:16:47.483461
ts:  1969-12-31 22:16:47.464821 - 1969-12-31 22:16:47.483593
ts:  1969-12-31 22:16:47.468821 - 1969-12-31 22:16:47.484036
ts:  1969-12-31 22:16:47.472821 - 1969-12-31 22:16:47.484328
ts:  1969-12-31 22:16:47.476821 - 1969-12-31 22:16:47.484469
ts:  1969-12-31 22:16:47.480821 - 1969-12-31 22:16:47.484559
ts:  1969-12-31 22:16:47.472837 - 1969-12-31 22:16:47.510990
ts:  1969-12-31 22:16:47.476837 - 1969-12-31 22:16:47.511624
ts:  1969-12-31 22:16:47.480837 - 1969-12-31 22:16:47.512289
ts:  1969-12-31 22:16:47.484837 - 1969-12-31 22:16:47.512685
ts:  1969-12-31 22:16:47.488837 - 1969-12-31 22:16:47.512907
ts:  1969-12-31 22:16:47.492837 - 1969-12-31 22:16:47.513175
ts:  1969-12-31 22:16:47.496837 - 1969-12-31 22:16:47.513623
ts:  1969-12-31 22:16:47.500837 - 1969-12-31 22:16:47.514147
ts:  1969-12-31 22:16:47.504837 - 1969-12-31 22:16:47.514470
ts:  1969-12-31 22:16:47.508837 - 1969-12-31 22:16:47.514535
ts:  1969-12-31 22:16:47.503325 - 1969-12-31 22:16:47.541430
ts:  1969-12-31 22:16:47.507325 - 1969-12-31 22:16:47.541713
ts:  1969-12-31 22:16:47.511325 - 1969-12-31 22:16:47.541801
ts:  1969-12-31 22:16:47.515325 - 1969-12-31 22:16:47.541901
ts:  1969-12-31 22:16:47.519325 - 1969-12-31 22:16:47.541984
ts:  1969-12-31 22:16:47.523325 - 1969-12-31 22:16:47.542111
ts:  1969-12-31 22:16:47.527325 - 1969-12-31 22:16:47.542281
ts:  1969-12-31 22:16:47.531325 - 1969-12-31 22:16:47.542385
ts:  1969-12-31 22:16:47.535325 - 1969-12-31 22:16:47.542538
ts:  1969-12-31 22:16:47.539325 - 1969-12-31 22:16:47.542717
ts:  1969-12-31 22:16:47.529168 - 1969-12-31 22:16:47.566553
ts:  1969-12-31 22:16:47.533168 - 1969-12-31 22:16:47.566851
ts:  1969-12-31 22:16:47.537168 - 1969-12-31 22:16:47.566940
ts:  1969-12-31 22:16:47.541168 - 1969-12-31 22:16:47.566985
ts:  1969-12-31 22:16:47.545168 - 1969-12-31 22:16:47.567022
ts:  1969-12-31 22:16:47.549168 - 1969-12-31 22:16:47.567059
ts:  1969-12-31 22:16:47.553168 - 1969-12-31 22:16:47.567122
ts:  1969-12-31 22:16:47.557168 - 1969-12-31 22:16:47.567196
ts:  1969-12-31 22:16:47.561168 - 1969-12-31 22:16:47.567318
ts:  1969-12-31 22:16:47.565168 - 1969-12-31 22:16:47.567395
ts:  1969-12-31 22:16:47.556614 - 1969-12-31 22:16:47.593728
ts:  1969-12-31 22:16:47.560614 - 1969-12-31 22:16:47.593879
ts:  1969-12-31 22:16:47.564614 - 1969-12-31 22:16:47.593924
ts:  1969-12-31 22:16:47.568614 - 1969-12-31 22:16:47.593950
ts:  1969-12-31 22:16:47.572614 - 1969-12-31 22:16:47.593979
ts:  1969-12-31 22:16:47.576614 - 1969-12-31 22:16:47.594012
ts:  1969-12-31 22:16:47.580614 - 1969-12-31 22:16:47.594068
ts:  1969-12-31 22:16:47.584614 - 1969-12-31 22:16:47.594198
ts:  1969-12-31 22:16:47.588614 - 1969-12-31 22:16:47.594334
ts:  1969-12-31 22:16:47.592614 - 1969-12-31 22:16:47.594633
ts:  1969-12-31 22:16:47.583404 - 1969-12-31 22:16:47.620401
ts:  1969-12-31 22:16:47.587404 - 1969-12-31 22:16:47.620494
ts:  1969-12-31 22:16:47.591404 - 1969-12-31 22:16:47.620523
ts:  1969-12-31 22:16:47.595404 - 1969-12-31 22:16:47.620545
ts:  1969-12-31 22:16:47.599404 - 1969-12-31 22:16:47.620567
ts:  1969-12-31 22:16:47.603404 - 1969-12-31 22:16:47.620587
ts:  1969-12-31 22:16:47.607404 - 1969-12-31 22:16:47.620608
ts:  1969-12-31 22:16:47.611404 - 1969-12-31 22:16:47.620629
ts:  1969-12-31 22:16:47.615404 - 1969-12-31 22:16:47.620649
ts:  1969-12-31 22:16:47.619404 - 1969-12-31 22:16:47.620669
ts:  1969-12-31 22:16:47.612347 - 1969-12-31 22:16:47.649337
ts:  1969-12-31 22:16:47.616347 - 1969-12-31 22:16:47.649840
ts:  1969-12-31 22:16:47.620347 - 1969-12-31 22:16:47.650171
ts:  1969-12-31 22:16:47.624347 - 1969-12-31 22:16:47.650342
ts:  1969-12-31 22:16:47.628347 - 1969-12-31 22:16:47.650472
